Time, Valve ID, Valve Value
20, 80, 4.823317 
21, 80, 10.514809 
22, 80, 4.341293 
23, 80, 3.730340 
20, 78, 26.820925 
21, 78, 22.397242 
22, 78, 26.305067 
23, 78, 26.070158 
20, 76, 11.006247 
22, 76, 14.762410 
23, 76, 12.355404 
20, 74, 51.620609 
21, 74, 53.737350 
22, 74, 48.657940 
23, 74, 44.926922 
20, 72, 72.877296 
22, 72, 70.768501 
23, 72, 68.314484 
20, 70, 33.325108 
21, 70, 33.459179 
23, 70, 30.582039 
20, 68, 48.866020 
21, 68, 48.105686 
22, 68, 36.066734 
23, 68, 43.894817 
20, 66, 8.411573 
21, 66, 11.799252 
22, 66, 11.856524 
23, 66, 8.662750 
20, 65, 15.660384 
20, 40, 34.752487 
21, 40, 36.381874 
22, 40, 36.632732 
23, 40, 36.786274 
20, 35, 28.993780 
21, 35, 24.067295 
22, 35, 24.305923 
20, 3, 121.870811 
21, 3, 123.428093 
22, 3, 125.873230 
23, 3, 119.711983 
