Time,34,Rajendra_nagar2,Rajendra_nagar1,Bademakan,Kesare,Rajiv_nagar_II,Veeranageeri,NR_mohalla2,NR_mohalla1,Rajiv_nagar_I,Tippu_park,
0,50.455856,36.060249,36.741772,35.725483,35.851460,36.026814,36.321075,36.047424,36.336742,36.452152,36.073170,
1,46.498215,45.943699,46.559429,45.769497,44.138588,46.084534,46.249283,46.081169,46.252731,46.417347,46.972950,
2,56.540569,55.827148,56.377083,55.813515,52.425716,56.142246,56.177494,56.114918,56.168724,56.382549,57.872730,
3,66.582932,65.710594,66.194740,65.857529,60.712845,66.199966,66.105705,66.148666,66.084717,66.347740,68.772514,
4,76.745277,75.594048,76.012398,75.901543,68.999977,76.137726,76.033913,76.182411,76.000702,76.312943,79.672287,
5,84.376884,83.005257,83.339561,83.432053,75.213234,83.216125,83.120308,84.119797,84.374092,83.471245,87.846931,
6,84.695244,82.999771,83.496780,82.725204,75.204933,83.845398,82.922668,83.503899,83.545494,83.563271,87.846207,
7,71.886551,70.633102,70.335678,69.425880,64.827324,69.985794,71.513596,72.803223,72.030647,71.855598,74.219849,
8,53.104649,52.085850,52.343246,52.562111,49.265068,52.359673,51.706036,52.426220,52.429813,52.339817,53.780674,
9,34.322746,33.538597,34.350815,35.698341,33.702808,34.733547,31.898474,32.049210,32.828976,32.824039,33.341496,
10,21.447262,21.171930,21.545881,22.399015,23.325201,21.414951,20.158539,20.651718,20.984411,20.893913,19.715136,
11,21.288715,21.166441,20.930248,21.678120,23.316891,20.817493,21.750996,21.186834,21.362331,21.294765,19.714405,
12,21.500641,21.160950,21.284369,22.168457,23.308580,21.505671,20.506214,20.674929,21.006765,20.835451,19.713673,
13,23.388336,23.627691,23.571074,24.084574,25.374130,23.759897,24.231707,23.458170,23.748383,23.582914,22.438072,
14,25.661470,26.094435,26.010309,26.000692,27.439680,26.014053,26.743233,26.241396,26.489994,26.330378,25.162468,
15,27.531523,26.088943,26.517017,26.491030,27.431374,26.842424,26.003086,24.895971,25.091595,25.182030,25.161736,
16,31.482876,31.027922,30.888786,29.832926,31.570784,30.601957,30.305592,31.807850,31.740438,31.566835,30.611259,
17,33.772068,33.494663,33.267292,31.749041,33.636337,32.935776,34.031086,34.591091,34.249279,34.055832,33.335659,
18,33.930649,33.489174,32.693878,31.284243,33.628021,32.460117,34.399300,35.268993,34.596531,34.444153,33.334934,
19,27.684437,27.303095,27.151928,27.255091,28.435062,27.304941,26.939100,27.515743,27.443874,27.265524,26.521435,
20,21.438227,21.117016,21.609978,23.225937,23.242104,22.149761,19.478897,19.762491,20.291218,20.086895,19.707939,
21,21.131296,21.111526,20.994120,22.761139,23.233793,20.721497,20.230844,21.088539,20.868883,21.074766,19.707205,
22,23.572830,23.578268,23.655689,25.164799,25.299343,23.653109,22.856478,23.532764,23.203213,23.159285,22.431606,
23,28.513964,28.517248,28.577547,28.994236,29.438753,28.961256,27.866463,28.665537,28.451984,28.127453,27.881130,
24,36.695675,35.928459,35.431934,34.249454,35.652023,35.695183,35.762363,36.346119,36.420361,36.432919,36.055782,
