Time,34,Rajendra_nagar2,Rajendra_nagar1,Bademakan,Kesare,Rajiv_nagar_II,Veeranageeri,NR_mohalla2,NR_mohalla1,Rajiv_nagar_I,Tippu_park,
0,36.427528,36.129749,36.938660,35.264305,36.986092,35.906570,35.970142,36.059155,36.378113,36.419731,35.616657,
1,46.491177,46.009754,46.678810,45.562416,45.244694,45.975334,46.075844,46.117088,46.260910,46.323795,46.517563,
2,56.554962,55.889755,56.418968,55.860527,53.503296,56.044098,56.181545,56.175022,56.143707,56.227863,57.418472,
3,66.618744,65.769753,66.159126,66.158638,61.761894,66.112854,66.287247,66.232964,66.026505,66.131927,68.319382,
4,76.682533,75.649757,75.899277,76.456749,70.020500,76.181618,76.392937,76.290901,75.909302,76.035988,79.220291,
5,84.720703,83.057518,83.706902,84.133743,76.205238,83.638344,82.448128,82.220177,83.386917,83.441093,87.396072,
6,84.945732,83.048584,83.662498,82.972076,76.168404,83.621284,83.135582,82.219788,83.382996,83.438217,87.396477,
7,72.443504,70.678474,70.886665,69.703690,65.762268,69.851662,71.175911,70.875923,71.394608,71.693840,73.771240,
8,53.114407,52.127773,52.505661,52.870853,50.171490,52.517593,51.404274,51.330742,52.094425,52.383068,53.333191,
9,33.785309,33.577076,34.124664,36.038021,34.580708,35.183517,31.632637,31.785557,32.794247,33.072300,32.895145,
10,22.571905,21.206964,21.499912,22.769632,24.174572,22.697556,19.248829,17.567383,19.284761,21.103842,19.269917,
11,18.675850,21.198030,21.455456,21.040377,24.137737,21.361971,23.787527,20.848595,22.231794,21.100967,19.270315,
12,19.341961,21.189095,21.411053,21.732357,24.100901,21.344898,24.474981,20.848209,20.851454,21.098091,19.270720,
13,22.312477,23.652393,23.299124,23.850119,26.137926,23.772020,26.284840,23.559387,23.611126,23.993052,21.996246,
14,24.055334,26.115692,26.011621,25.967880,28.174948,26.199139,28.094700,26.270565,26.370796,26.888010,24.721771,
15,25.798189,26.106756,26.791590,26.659863,28.138111,27.200472,25.854053,24.853094,24.990456,25.887159,24.722170,
16,29.718018,31.042292,30.612192,30.203400,32.248993,31.053375,31.714386,31.692926,31.890137,32.040413,30.172823,
17,32.160297,33.505589,32.500320,32.321163,34.286015,33.480564,36.452351,34.404121,34.649811,34.297859,32.898354,
18,32.186787,33.496651,32.455917,31.552967,34.249180,33.463493,37.139801,34.403736,34.645889,34.294987,32.898758,
19,25.667196,27.307131,26.731194,27.220327,29.027695,27.635553,29.541611,27.394924,27.901777,27.694250,26.086344,
20,19.147610,21.117607,21.006470,22.887686,23.806208,21.807611,21.943415,20.386112,21.157669,21.093517,19.273932,
21,19.174099,21.108673,20.962065,22.119490,23.769371,21.790541,22.630869,20.385729,21.153742,21.090643,19.274336,
22,21.214128,23.571972,22.850193,24.945955,25.806396,24.253834,24.976879,22.888325,25.289829,23.275501,21.999865,
23,26.364290,28.507505,28.028460,29.198200,29.917278,29.354591,30.162214,27.938398,29.242910,28.678991,27.450521,
24,34.599838,35.915272,35.139259,34.876221,36.102020,35.881138,37.964378,35.560818,37.336010,36.657001,35.626305,
